function,category,original_line,current_line,variants
function_401000,保留原反编译函数体,8585,9615,1
function_401010,保留原反编译函数体,8595,9625,1
function_401040,已修改／替换的非空实现,8611,9641,1
function_4011b0,已修改／替换的非空实现,8679,9709,2
function_4013d0,已修改／替换的非空实现,8788,9837,1
function_4014d0,保留原反编译函数体,8847,9896,1
function_401600,已修改／替换的非空实现,8880,9929,1
function_401660,已修改／替换的非空实现,8905,9957,1
function_4016e0,已修改／替换的非空实现,8956,9997,1
function_401740,保留原反编译函数体,8992,10033,1
function_401760,已修改／替换的非空实现,9002,10043,1
function_401790,已修改／替换的非空实现,9015,10070,1
function_4017b0,已修改／替换的非空实现,9022,10082,3
function_401820,已修改／替换的非空实现,9057,10114,1
function_401850,保留原反编译函数体,9065,10136,1
function_401a30,保留原反编译函数体,9175,10246,1
function_401ae0,已修改／替换的非空实现,9190,10261,1
function_401ba0,保留原反编译函数体,9208,10307,1
function_401da0,保留原反编译函数体,9360,10459,1
function_401dc0,已修改／替换的非空实现,9367,10466,1
function_401e60,保留原反编译函数体,9400,10499,1
function_401ee0,保留原反编译函数体,9412,10511,1
function_401f80,已修改／替换的非空实现,9551,10650,1
function_4021e0,已修改／替换的非空实现,9923,11022,1
function_402230,保留原反编译函数体,9960,11059,1
function_402290,保留原反编译函数体,9994,11093,1
function_4022f0,保留原反编译函数体,10013,11112,1
function_402310,保留原反编译函数体,10034,11133,1
function_402360,保留原反编译函数体,10086,11185,1
function_402430,保留原反编译函数体,10157,11256,1
function_402610,保留原反编译函数体,10410,11509,1
function_402670,保留原反编译函数体,10441,11540,1
function_4026e0,已修改／替换的非空实现,10480,11579,1
function_402770,已修改／替换的非空实现,10505,11601,1
function_4028d0,已修改／替换的非空实现,10673,11705,1
function_402930,保留原反编译函数体,10721,11735,1
function_402970,已修改／替换的非空实现,10730,11744,1
function_4029b0,保留原反编译函数体,10755,11761,1
function_4029d0,保留原反编译函数体,10763,11769,1
function_4029f0,保留原反编译函数体,10780,11786,1
function_402a10,保留原反编译函数体,10791,11797,1
function_402a20,保留原反编译函数体,10800,11806,1
function_402a50,保留原反编译函数体,10812,11818,1
function_402aa0,已修改／替换的非空实现,10824,11830,1
function_402ac0,保留原反编译函数体,10831,11848,1
function_402ad0,原版即为简单返回／空函数,10838,11855,1
function_402af0,已修改／替换的非空实现,10844,11861,1
function_402b90,已修改／替换的非空实现,10855,11872,1
function_4a96d0,已修改／替换的非空实现,10875,11892,3
function_402d30,原版即为简单返回／空函数,10952,11975,1
function_402d40,已修改／替换的非空实现,10958,12016,1
function_403000,保留原反编译函数体,10989,12131,1
