function,category,original_line,current_line,cpp_locations
function_401000,unchanged_decompiled_body,8585,7639,
function_401010,unchanged_decompiled_body,8595,7649,
function_401040,modified_nonempty_body,8611,7665,
function_4011b0,modified_nonempty_body,8679,7733,
function_4013d0,modified_nonempty_body,8788,7861,
function_4014d0,unchanged_decompiled_body,8847,7920,
function_401600,modified_nonempty_body,8880,7953,
function_401660,modified_nonempty_body,8905,7981,
function_4016e0,modified_nonempty_body,8956,8021,
function_401740,unchanged_decompiled_body,8992,8057,
function_401760,modified_nonempty_body,9002,8067,
function_401790,modified_nonempty_body,9015,8094,
function_4017b0,modified_nonempty_body,9022,8106,
function_401820,modified_nonempty_body,9057,8138,
function_401850,unchanged_decompiled_body,9065,8160,
function_401a30,unchanged_decompiled_body,9175,8270,
function_401ae0,modified_nonempty_body,9190,8285,
function_401ba0,unchanged_decompiled_body,9208,8331,
function_401da0,unchanged_decompiled_body,9360,8483,
function_401dc0,modified_nonempty_body,9367,8490,
function_401e60,unchanged_decompiled_body,9400,8523,
function_401ee0,unchanged_decompiled_body,9412,8535,
function_401f80,modified_nonempty_body,9551,8674,
function_4021e0,modified_nonempty_body,9923,9046,
function_402230,unchanged_decompiled_body,9960,9083,
function_402290,unchanged_decompiled_body,9994,9117,
function_4022f0,unchanged_decompiled_body,10013,9136,
function_402310,unchanged_decompiled_body,10034,9157,
function_402360,unchanged_decompiled_body,10086,9209,
function_402430,unchanged_decompiled_body,10157,9280,
function_402610,unchanged_decompiled_body,10410,9533,
function_402670,unchanged_decompiled_body,10441,9564,
function_4026e0,modified_nonempty_body,10480,9603,
function_402770,modified_nonempty_body,10505,9625,
function_4028d0,modified_nonempty_body,10673,9729,
function_402930,unchanged_decompiled_body,10721,9759,
function_402970,modified_nonempty_body,10730,9768,
function_4029b0,cpp_address_replacement,10755,,src/squirrel/squirrel_game_objects.cpp:66
function_4029d0,unchanged_decompiled_body,10763,9790,
function_4029f0,unchanged_decompiled_body,10780,9807,
function_402a10,unchanged_decompiled_body,10791,9818,
function_402a20,unchanged_decompiled_body,10800,9827,
function_402a50,cpp_address_replacement,10812,,src/squirrel/squirrel_game_objects.cpp:72
function_402aa0,modified_nonempty_body,10824,9842,
function_402ac0,unchanged_decompiled_body,10831,9860,
function_402ad0,original_short_body,10838,9867,
function_402af0,modified_nonempty_body,10844,9873,
function_402b90,modified_nonempty_body,10855,9884,
function_4a96d0,modified_nonempty_body,10875,9904,src/squirrel/squirrel_host_compat.cpp:163
function_402d30,original_short_body,10952,9987,
function_402d40,modified_nonempty_body,10958,10028,
function_403000,modified_nonempty_body,10989,10143,
function_4a9a30,cpp_address_replacement,10995,,src/squirrel/squirrel_host_compat.cpp:229
function_40bf10,modified_nonempty_body,11021,21427,
function_40c560,modified_nonempty_body,11376,21773,
function_403790,unchanged_decompiled_body,11798,10150,
function_4037e0,unchanged_decompiled_body,11808,10160,
function_403820,unchanged_decompiled_body,11817,10169,
function_403830,unchanged_decompiled_body,11824,10176,
function_4038c0,modified_nonempty_body,11908,10391,
function_4039e0,modified_nonempty_body,11998,10433,
function_403a90,unchanged_decompiled_body,12053,10475,
function_403ad0,pr4_disconnected_removal,12063,,
function_403b90,unchanged_decompiled_body,12092,10490,
function_403bf0,modified_nonempty_body,12119,10517,
function_403ce0,modified_nonempty_body,12198,10367,
function_403db6,unchanged_decompiled_body,12237,10625,
function_403dbc,modified_nonempty_body,12244,10633,
function_403e50,replacement_mapping_unresolved,12269,,
function_403e80,unchanged_decompiled_body,12284,10650,
function_403f00,unchanged_decompiled_body,12300,10666,
function_403f20,unchanged_decompiled_body,12310,10676,
function_403fc0,unchanged_decompiled_body,12400,10766,
function_403fe0,unchanged_decompiled_body,12409,10775,
function_404040,unchanged_decompiled_body,12447,10813,
function_404090,unchanged_decompiled_body,12460,10826,
function_4040d0,modified_nonempty_body,12471,10837,
function_404130,modified_nonempty_body,12479,10843,
function_404180,unchanged_decompiled_body,12487,10849,
function_404230,unchanged_decompiled_body,12533,10895,
function_404270,unchanged_decompiled_body,12556,10918,
function_404390,modified_nonempty_body,12618,10980,
function_477160,pr4_disconnected_removal,12622,,
function_404430,modified_nonempty_body,12644,11001,
function_474000,pr4_disconnected_removal,12648,,
function_4044d0,pr4_disconnected_removal,12670,,
function_4045c0,modified_nonempty_body,12761,11025,
function_404610,unchanged_decompiled_body,12800,11035,
function_404640,unchanged_decompiled_body,12809,11044,
function_404770,unchanged_decompiled_body,12927,11162,
function_4049c0,unchanged_decompiled_body,13167,11402,
function_404bc0,unchanged_decompiled_body,13379,11614,
function_404e10,unchanged_decompiled_body,13619,11854,
function_404eb0,unchanged_decompiled_body,13638,11873,
function_404ee0,unchanged_decompiled_body,13645,11880,
function_405040,unchanged_decompiled_body,13795,12030,
function_405060,unchanged_decompiled_body,13804,12039,
function_405080,unchanged_decompiled_body,13813,12048,
function_405140,unchanged_decompiled_body,13841,12076,
function_405180,unchanged_decompiled_body,13856,12091,
function_4051e0,unchanged_decompiled_body,13871,12106,
function_405220,unchanged_decompiled_body,13886,12121,
function_405280,unchanged_decompiled_body,13901,12136,
function_4052c0,unchanged_decompiled_body,13916,12151,
function_405320,unchanged_decompiled_body,13931,12166,
function_405720,unchanged_decompiled_body,14432,12667,
function_405800,pr4_disconnected_removal,14458,,
function_405900,unchanged_decompiled_body,14489,12858,
function_405980,modified_nonempty_body,14566,12935,
function_405990,unchanged_decompiled_body,14574,12943,
function_4059c0,unchanged_decompiled_body,14582,12951,
function_405a50,unchanged_decompiled_body,14600,12969,
function_405aa0,unchanged_decompiled_body,14616,12985,
function_405b30,modified_nonempty_body,14637,13006,
function_405bd0,modified_nonempty_body,14670,13039,
function_405c90,unchanged_decompiled_body,14680,13049,
function_405d60,modified_nonempty_body,14689,13140,
function_405e30,modified_nonempty_body,14765,13149,
function_405ea0,modified_nonempty_body,14785,13185,
function_405f80,modified_nonempty_body,14808,13208,
function_406180,modified_nonempty_body,14894,13294,
function_4062d0,modified_nonempty_body,14971,13371,
function_406350,unchanged_decompiled_body,15007,13407,
function_406360,unchanged_decompiled_body,15014,13414,
function_406370,modified_nonempty_body,15022,13422,
function_4065a0,unchanged_decompiled_body,15091,13491,
function_4065d0,unchanged_decompiled_body,15104,13504,
function_406600,modified_nonempty_body,15117,13517,
function_406670,unchanged_decompiled_body,15149,13549,
function_406690,unchanged_decompiled_body,15159,13559,
function_4067f0,modified_nonempty_body,15270,13592,
function_406880,unchanged_decompiled_body,15309,13631,
function_4068f0,unchanged_decompiled_body,15401,13723,
function_406a50,unchanged_decompiled_body,15437,13759,
function_406ac0,unchanged_decompiled_body,15459,13781,
function_406cc0,modified_nonempty_body,15579,13901,
function_406db0,unchanged_decompiled_body,15662,13984,
function_406df0,unchanged_decompiled_body,15694,14016,
function_406ee0,unchanged_decompiled_body,15742,14064,
function_406fc0,unchanged_decompiled_body,15999,14321,
function_407000,unchanged_decompiled_body,16041,14363,
function_407070,unchanged_decompiled_body,16089,14411,
function_407130,unchanged_decompiled_body,16131,14453,
function_407190,unchanged_decompiled_body,16158,14480,
function_407210,unchanged_decompiled_body,16197,14519,
function_407250,unchanged_decompiled_body,16222,14544,
function_407270,unchanged_decompiled_body,16239,14561,
function_4072b0,modified_nonempty_body,16257,14579,
function_4072d0,modified_nonempty_body,16266,14588,
function_407300,modified_nonempty_body,16276,14605,
function_407310,unchanged_decompiled_body,16285,14619,
function_407340,unchanged_decompiled_body,16303,14637,
function_407350,unchanged_decompiled_body,16311,14645,
function_407360,modified_nonempty_body,16319,14653,
function_407370,modified_nonempty_body,16325,10063,src/reconstructed/act_document.cpp:477
function_407450,unchanged_decompiled_body,16412,14819,
function_407480,unchanged_decompiled_body,16422,14829,
function_4074b0,unchanged_decompiled_body,16435,14842,
function_4074c0,unchanged_decompiled_body,16443,14850,
function_407500,modified_nonempty_body,16461,15031,
function_4077c0,modified_nonempty_body,16754,15324,
function_4082b0,unchanged_decompiled_body,18542,17112,
function_4082d0,unchanged_decompiled_body,18552,17122,
function_408320,modified_nonempty_body,18572,17142,
function_4083e0,modified_nonempty_body,18656,17225,
